"","sampleID","horizon","mois","temp","bd","Dgas","Dliq","CO2","CH4","O2","H2","avail_ammonium","avail_nitrate_nitrite","nmin_obs","nitr_obs","moisture","liq_diffusion","gas_diffusion","ammonium","nitrate","oxygen","co2","id"
"61","HARV_021-M-16.5-6-20180417","M",0.340102521684211,4.2,0.8,1.43414048037368,3.17752259411457,2.22776057099413e-05,1.04019948840193e-07,0.0120778718375557,2.88944302333869e-08,0.299349314809837,0.179393452196509,0.05,0.019,0.34,3.18,1.43,0.3,0.18,0.012,0,"sim_diff_3.18_nh4_0.3_no3_0.18_mois_0.34_o2_0.012"
"62","HARV_034-M-34.5-11-20181010","M",1.38643834094737,15.7,0.8,1.43414048037368,3.17752259411457,0.000219272635968638,1.02384110179909e-06,0.118879327931117,2.84400306055303e-07,5.45833911144295,0.171812126994572,0.123,0.134,1.39,3.18,1.43,5.46,0.17,0.119,0,"sim_diff_3.18_nh4_5.46_no3_0.17_mois_1.39_o2_0.119"
"63","HARV_013-M-33-23-20180712","M",0.132744096473684,17.2,0.8,1.43414048037368,3.17752259411457,0.000263711124795846,1.23133599126465e-06,0.14297179009684,3.42037775351292e-07,0.80436757654333,1.31769497069814,-0.166,-0.087,0.13,3.18,1.43,0.8,1.32,0.143,0,"sim_diff_3.18_nh4_0.8_no3_1.32_mois_0.13_o2_0.143"
"64","HARV_013-M-36.5-18-20181009","M",0.223842986210526,15.4,0.8,1.43414048037368,3.17752259411457,0.000216938863924748,1.01294411171089e-06,0.117614066304208,2.81373364364135e-07,1.44956040599233,0.0476548317966076,0.073,0.09,0.22,3.18,1.43,1.45,0.05,0.118,0,"sim_diff_3.18_nh4_1.45_no3_0.05_mois_0.22_o2_0.118"
"65","HARV_021-M-1-28-20181010","M",0.254209282789474,17.2,0.8,1.43414048037368,3.17752259411457,0.000263082197151394,1.22839936413102e-06,0.142630815057435,3.4122204559195e-07,0.735057723124464,1.46446115607105,-0.098,-0.088,0.25,3.18,1.43,0.74,1.46,0.143,0,"sim_diff_3.18_nh4_0.74_no3_1.46_mois_0.25_o2_0.143"
"66","HARV_034-M-26-8-20180418","M",0.368733601315789,2.5,0.8,1.43414048037368,3.17752259411457,8.98115631436205e-06,4.19353602227022e-08,0.00486916127030264,1.16487111729728e-08,0.531933344623131,0.282369903203027,0.025,0.009,0.37,3.18,1.43,0.53,0.28,0.005,0,"sim_diff_3.18_nh4_0.53_no3_0.28_mois_0.37_o2_0.005"
"67","HARV_035-M-4.5-5-20180419","M",0.465905750368421,1,0.8,1.43414048037368,3.17752259411457,1.80345329861723e-06,8.42079361222054e-09,0.000977747702752274,2.33910933672793e-09,1.27020554963322,0.0458932075042304,-0.006,0.001,0.47,3.18,1.43,1.27,0.05,0.001,0,"sim_diff_3.18_nh4_1.27_no3_0.05_mois_0.47_o2_0.001"
"68","HARV_034-M-1-7-20181010","M",0.513624216421053,15,0.8,1.43414048037368,3.17752259411457,0.000205994406222572,9.61841585475042e-07,0.11168049520238,2.67178218187512e-07,3.3538679955155,0.548369657660928,0.127,0.039,0.51,3.18,1.43,3.35,0.55,0.112,0,"sim_diff_3.18_nh4_3.35_no3_0.55_mois_0.51_o2_0.112"
"69","HARV_035-M-38-33.5-20180709","M",0.327088394578947,15,0.8,1.43414048037368,3.17752259411457,0.000206753701962096,9.65386935231575e-07,0.112092149701888,2.68163037564326e-07,0.732728188653323,1.47377102341902,0.059,-0.004,0.33,3.18,1.43,0.73,1.47,0.112,0,"sim_diff_3.18_nh4_0.73_no3_1.47_mois_0.33_o2_0.112"
"70","HARV_034-M-15.5-30-20180709","M",0.284575579368421,15.1,0.8,1.43414048037368,3.17752259411457,0.000209347027024256,9.77495846027653e-07,0.113498128788766,2.7152662389657e-07,0.453026911921378,0,0.068,0.054,0.28,3.18,1.43,0.45,0,0.113,0,"sim_diff_3.18_nh4_0.45_no3_0_mois_0.28_o2_0.113"
